Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_Chl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
William Saliba,fr FRA,DF,22-285,20,22,14,12,10,0,13,14,92.9,1,17,9,8,12,34,41,2
Declan Rice,eng ENG,MF,24-354,19.4,42,24,21,17,4,19,33,57.6,14,23,7,16,30,72,34,0
Bukayo Saka,eng ENG,FW,22-120,18.4,39,21,14,12,13,14,32,43.8,18,31,2,29,7,46,8,1
Martin Ødegaard,no NOR,MF,25-017,16.7,26,9,7,15,4,10,29,34.5,19,12,1,11,4,30,4,0
Ben White,eng ENG,DF,26-087,16.4,22,13,10,10,2,10,21,47.6,11,20,13,7,17,39,35,1
Gabriel Martinelli,br BRA,FW,22-199,14.3,13,10,3,6,4,5,10,50,5,13,0,13,4,17,3,0
Gabriel Dos Santos,br BRA,DF,26-015,16.3,22,10,12,9,1,11,13,84.6,2,25,19,6,17,39,40,0
David Raya,es ESP,GK,28-110,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,3
Oleksandr Zinchenko,ua UKR,DF,27-019,13.4,38,23,13,19,6,27,38,71.1,11,15,2,13,13,51,12,2
Kai Havertz,de GER,MF,24-206,13,22,10,2,15,5,10,22,45.5,12,16,1,15,11,33,4,0
Gabriel Jesus,br BRA,FW,26-275,10.4,18,12,10,4,4,3,13,23.1,10,14,1,13,7,25,7,0
Eddie Nketiah,eng ENG,FW,24-218,10.8,9,5,2,5,2,1,4,25,3,11,0,11,4,13,3,0
Leandro Trossard,be BEL,"FW,MF",29-030,7.4,11,6,4,5,2,4,9,44.4,5,15,0,15,6,17,1,0
Takehiro Tomiyasu,jp JPN,DF,25-059,7,11,5,9,2,0,6,9,66.7,3,3,1,2,10,21,19,0
Aaron Ramsdale,eng ENG,GK,25-234,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Jorginho,it ITA,MF,32-014,4.3,11,3,4,3,4,6,12,50,6,8,1,7,2,13,2,1
Jakub Kiwior,pl POL,DF,23-322,3.3,8,6,4,4,0,5,6,83.3,1,4,1,3,1,9,12,0
Thomas Partey,gh GHA,"DF,MF",30-204,2.8,6,5,5,1,0,4,6,66.7,2,2,1,1,4,10,2,0
Fabio Vieira,pt POR,MF,23-218,2.7,3,2,2,0,1,3,3,100,0,0,0,0,2,5,1,0
Emile Smith Rowe,eng ENG,MF,23-159,1.3,2,0,2,0,0,2,3,66.7,1,3,1,2,1,3,0,0
Jurriën Timber,nl NED,DF,22-200,0.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0
Reiss Nelson,eng ENG,"FW,MF",24-024,1.2,4,3,1,1,2,4,5,80,1,1,1,0,0,4,4,0
Mohamed Elneny,eg EGY,MF,31-176,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
