Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
William Saliba,fr FRA,DF,22-285,20,20,1800,20.0,1,1,2,1,0,0,2,0,1.1,1.1,0.1,1.3,11,81,3
Declan Rice,eng ENG,MF,24-354,20,20,1742,19.4,3,1,4,3,0,0,2,0,1.5,1.5,2.1,3.6,38,184,24
Bukayo Saka,eng ENG,FW,22-120,19,19,1660,18.4,6,6,12,4,2,2,2,0,6.9,5.3,5.4,10.7,90,67,305
Martin Ødegaard,no NOR,MF,25-017,17,17,1505,16.7,4,3,7,2,2,2,1,0,3.9,2.4,3.5,5.9,49,141,99
Ben White,eng ENG,DF,26-087,19,17,1476,16.4,1,1,2,1,0,0,4,0,0.6,0.6,1.9,2.5,19,85,77
Gabriel Martinelli,br BRA,FW,22-199,18,17,1285,14.3,2,2,4,2,0,0,1,0,2.5,2.5,2.4,4.9,80,45,214
Gabriel Dos Santos,br BRA,DF,26-015,18,16,1466,16.3,1,0,1,1,0,0,1,0,1.2,1.2,0.7,1.8,9,65,6
David Raya,es ESP,GK,28-110,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
Oleksandr Zinchenko,ua UKR,DF,27-019,18,14,1204,13.4,1,1,2,1,0,0,2,0,0.4,0.4,1.6,2.0,27,161,45
Kai Havertz,de GER,MF,24-206,19,13,1173,13.0,4,1,5,3,1,1,5,0,4.1,3.3,1.2,4.5,19,52,75
Gabriel Jesus,br BRA,FW,26-275,15,11,936,10.4,3,1,4,3,0,0,4,0,4.8,4.8,1.4,6.2,21,28,86
Eddie Nketiah,eng ENG,FW,24-218,19,10,968,10.8,5,1,6,5,0,0,3,0,4.1,4.1,0.5,4.6,18,15,62
Leandro Trossard,be BEL,"FW,MF",29-030,16,6,666,7.4,3,1,4,3,0,0,0,0,2.9,2.9,1.7,4.5,21,39,58
Takehiro Tomiyasu,jp JPN,DF,25-059,13,5,634,7.0,1,1,2,1,0,0,2,1,0.5,0.5,0.2,0.7,11,58,24
Aaron Ramsdale,eng ENG,GK,25-234,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
Jorginho,it ITA,MF,32-014,11,4,386,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,36,2
Jakub Kiwior,pl POL,DF,23-322,8,4,294,3.3,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,20,4
Thomas Partey,gh GHA,"DF,MF",30-204,4,3,251,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,10,33,4
Fabio Vieira,pt POR,MF,23-218,8,2,241,2.7,1,2,3,0,1,1,0,1,1.2,0.4,1.1,1.5,9,12,24
Emile Smith Rowe,eng ENG,MF,23-159,6,1,121,1.3,0,1,1,0,0,0,0,0,1.0,1.0,0.1,1.0,2,8,5
Jurriën Timber,nl NED,DF,22-200,1,1,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,3
Reiss Nelson,eng ENG,"FW,MF",24-024,9,0,109,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.5,4,2,10
Mohamed Elneny,eg EGY,MF,31-176,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
