Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG-GA
David Raya,es ESP,GK,28-110,15,15,1350,15,16,1.07,39,22,61.5,8,3,4,5,33.3,2,1,1,0,13,0.3,-3
Aaron Ramsdale,eng ENG,GK,25-234,5,5,450,5,4,0.8,10,6,60,4,1,0,2,40,0,0,0,0,2.3,0.23,-1.7
