Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
William Saliba,fr FRA,DF,22-285,20.0,1,6,1,16.7,0.3,0.05,0.17,1.0,13.1,0,0,0,1.1,1.1,0.19,-0.1,-0.1
Declan Rice,eng ENG,MF,24-354,19.4,3,27,7,25.9,1.39,0.36,0.11,0.43,20.7,1,0,0,1.5,1.5,0.06,1.5,1.5
Bukayo Saka,eng ENG,FW,22-120,18.4,6,47,17,36.2,2.55,0.92,0.09,0.24,15.8,0,2,2,6.9,5.3,0.11,-0.9,-1.3
Martin Ødegaard,no NOR,MF,25-017,16.7,4,37,13,35.1,2.21,0.78,0.05,0.15,21.7,1,2,2,3.9,2.4,0.06,0.1,-0.4
Ben White,eng ENG,DF,26-087,16.4,1,6,3,50.0,0.37,0.18,0.17,0.33,11.9,0,0,0,0.6,0.6,0.1,0.4,0.4
Gabriel Martinelli,br BRA,FW,22-199,14.3,2,33,11,33.3,2.31,0.77,0.06,0.18,15.9,0,0,0,2.5,2.5,0.08,-0.5,-0.5
Gabriel Dos Santos,br BRA,DF,26-015,16.3,1,12,2,16.7,0.74,0.12,0.08,0.5,8.1,0,0,0,1.2,1.2,0.1,-0.2,-0.2
David Raya,es ESP,GK,28-110,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Oleksandr Zinchenko,ua UKR,DF,27-019,13.4,1,13,2,15.4,0.97,0.15,0.08,0.5,23.6,0,0,0,0.4,0.4,0.03,0.6,0.6
Kai Havertz,de GER,MF,24-206,13.0,4,24,3,12.5,1.84,0.23,0.13,1.0,12.4,0,1,1,4.1,3.3,0.14,-0.1,-0.3
Gabriel Jesus,br BRA,FW,26-275,10.4,3,32,14,43.8,3.08,1.35,0.09,0.21,11.5,0,0,0,4.8,4.8,0.15,-1.8,-1.8
Eddie Nketiah,eng ENG,FW,24-218,10.8,5,32,10,31.3,2.98,0.93,0.16,0.5,12.8,0,0,0,4.1,4.1,0.13,0.9,0.9
Leandro Trossard,be BEL,"FW,MF",29-030,7.4,3,23,7,30.4,3.11,0.95,0.13,0.43,16.5,0,0,0,2.9,2.9,0.12,0.1,0.1
Takehiro Tomiyasu,jp JPN,DF,25-059,7.0,1,8,2,25.0,1.14,0.28,0.13,0.5,17.8,0,0,0,0.5,0.5,0.06,0.5,0.5
Aaron Ramsdale,eng ENG,GK,25-234,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Jorginho,it ITA,MF,32-014,4.3,0,3,0,0.0,0.7,0.0,0.0,0.0,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Jakub Kiwior,pl POL,DF,23-322,3.3,0,2,0,0.0,0.61,0.0,0.0,0.0,12.6,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Thomas Partey,gh GHA,"DF,MF",30-204,2.8,0,2,1,50.0,0.72,0.36,0.0,0.0,17.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Fabio Vieira,pt POR,MF,23-218,2.7,1,5,1,20.0,1.87,0.37,0.0,0.0,18.3,0,1,1,1.2,0.4,0.08,-0.2,-0.4
Emile Smith Rowe,eng ENG,MF,23-159,1.3,0,5,4,80.0,3.72,2.98,0.0,0.0,15.5,0,0,0,1.0,1.0,0.2,-1.0,-1.0
Jurriën Timber,nl NED,DF,22-200,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
Reiss Nelson,eng ENG,"FW,MF",24-024,1.2,0,2,0,0.0,1.65,0.0,0.0,0.0,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mohamed Elneny,eg EGY,MF,31-176,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0
