Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
William Saliba,fr FRA,DF,22-285,20.0,1721,130,697,965,65,7,1721,5,2,40.0,3,60.0,1174,5310,3181,11,12,1,13,10,1286,3
Declan Rice,eng ENG,MF,24-354,19.4,1574,67,365,863,357,20,1574,24,13,54.2,8,33.3,1052,6450,3189,38,34,5,14,11,1204,24
Bukayo Saka,eng ENG,FW,22-120,18.4,1131,13,94,273,771,135,1129,79,31,39.2,38,48.1,742,4288,2068,90,43,34,37,34,815,305
Martin Ødegaard,no NOR,MF,25-017,16.7,1109,9,122,431,563,71,1107,38,16,42.1,19,50.0,770,3929,1661,49,36,16,27,30,851,99
Ben White,eng ENG,DF,26-087,16.4,1279,59,326,650,312,27,1279,10,4,40.0,6,60.0,750,2809,1562,19,14,4,11,6,904,77
Gabriel Martinelli,br BRA,FW,22-199,14.3,795,4,51,191,561,118,795,73,27,37.0,35,47.9,554,3709,1875,80,29,50,29,26,610,214
Gabriel Dos Santos,br BRA,DF,26-015,16.3,1164,140,491,571,109,19,1164,4,1,25.0,2,50.0,717,2966,1763,9,17,1,5,1,813,6
David Raya,es ESP,GK,28-110,15.0,523,363,511,12,0,0,523,0,0,0.0,0,0.0,359,1584,913,0,0,0,0,0,298,0
Oleksandr Zinchenko,ua UKR,DF,27-019,13.4,1207,25,230,627,357,20,1207,9,5,55.6,4,44.4,713,3322,1581,27,18,6,7,11,816,45
Kai Havertz,de GER,MF,24-206,13.0,576,9,55,263,265,69,575,19,7,36.8,8,42.1,322,1362,682,19,19,7,18,15,407,75
Gabriel Jesus,br BRA,FW,26-275,10.4,474,11,46,155,278,81,474,40,18,45.0,15,37.5,323,1699,711,21,11,16,39,28,351,86
Eddie Nketiah,eng ENG,FW,24-218,10.8,312,4,14,130,170,61,312,27,8,29.6,13,48.1,200,998,402,18,9,8,31,15,233,62
Leandro Trossard,be BEL,"FW,MF",29-030,7.4,409,4,41,135,238,48,409,13,4,30.8,8,61.5,243,1346,574,21,9,7,17,14,269,58
Takehiro Tomiyasu,jp JPN,DF,25-059,7.0,537,17,115,255,170,10,537,7,4,57.1,3,42.9,341,1493,750,11,10,0,6,3,368,24
Aaron Ramsdale,eng ENG,GK,25-234,5.0,158,113,150,8,0,0,158,0,0,0.0,0,0.0,107,564,332,0,0,0,1,0,84,0
Jorginho,it ITA,MF,32-014,4.3,357,10,67,205,86,2,357,1,1,100.0,0,0.0,226,753,316,3,3,0,2,3,287,2
Jakub Kiwior,pl POL,DF,23-322,3.3,241,9,63,144,37,4,241,0,0,0.0,0,0.0,142,594,365,0,2,0,2,0,167,4
Thomas Partey,gh GHA,"DF,MF",30-204,2.8,272,4,48,162,64,3,272,8,6,75.0,1,12.5,180,870,510,10,11,0,1,3,198,4
Fabio Vieira,pt POR,MF,23-218,2.7,143,2,11,54,80,17,142,8,2,25.0,5,62.5,93,449,227,9,2,3,5,4,108,24
Emile Smith Rowe,eng ENG,MF,23-159,1.3,85,0,9,41,36,5,85,2,2,100.0,0,0.0,51,218,112,2,2,0,1,3,62,5
Jurriën Timber,nl NED,DF,22-200,0.5,51,0,8,38,5,0,51,0,0,0.0,0,0.0,39,127,86,0,2,0,0,0,39,3
Reiss Nelson,eng ENG,"FW,MF",24-024,1.2,84,4,19,22,45,5,84,5,0,0.0,5,100.0,56,276,119,4,3,1,4,1,52,10
Mohamed Elneny,eg EGY,MF,31-176,0.0,12,0,5,5,2,1,12,0,0,0.0,0,0.0,6,34,6,0,0,0,0,0,9,0
