Season,Matches,Goals,Goals_Conc,Shots,SOT,Conversion,Shots_Inside_Box,G_inside_Box,Shots_Outside_box,G_outside_Box,Big_chances_per_game,Big_chance_missed_per_game,Succ_Drib_per_game,Corners_per_game,Counter_attacks,Clean_sheets,fouls_per_game,yellow_per_game,Possession
2022-2023,38,88,43,15.6,5.4,15,414,75,179,9,2.6,1.3,9.4,5.9,18,14,9.8,1.4,59.8
2023-2024,20,37,20,16.2,5.5,11,228,32,97,4,2.7,1.6,7.5,7.9,8,7,9.7,1.6,60.6
